District,Race,Count,,,,,,,
Albemarle,Indigenous,22,,,,,,,
Albemarle,Asian,808,,,,,,,
Albemarle,Black,1667,,,,,,,
Albemarle,Hispanic,2213,,,,,,,
Albemarle,Multiracial,1003,,,,,,,
Albemarle,White,8257,,,,,,,
Charlottesville,Indigenous,4,,,,,,,
Charlottesville,Asian,238,,,,,,,
Charlottesville,Black,1256,,,,,,,
Charlottesville,Hispanic,587,,,,,,,
Charlottesville,Multiracial,611,,,,,,,
Charlottesville,White,1795,,,,,,,
Greene,Indigenous,5,,,,,,,
Greene,Asian,46,,,,,,,
Greene,Black,183,,,,,,,
Greene,Hispanic,383,,,,,,,
Greene,Multiracial,266,,,,,,,
Greene,White,1955,,,,,,,
Fluvanna,Indigenous,6,,,,,,,
Fluvanna,Asian,20,,,,,,,
Fluvanna,Black,476,,,,,,,
Fluvanna,Hispanic,324,,,,,,,
Fluvanna,Multiracial,318,,,,,,,
Fluvanna,White,2295,,,,,,,
Buckingham,Indigenous,3,,,,,,,
Buckingham,Asian,4,,,,,,,
Buckingham,Black,672,,,,,,,
Buckingham,Hispanic,96,,,,,,,
Buckingham,Multiracial,180,,,,,,,
Buckingham,White,1037,,,,,,,
Louisa,Indigenous,12,,,,,,,
Louisa,Asian,37,,,,,,,
Louisa,Black,757,,,,,,,
Louisa,Hispanic,373,,,,,,,
Louisa,Multiracial,434,,,,,,,
Louisa,White,3560,,,,,,,
Nelson,Indigenous,5,,,,,,,
Nelson,Asian,7,,,,,,,
Nelson,Black,201,,,,,,,
Nelson,Hispanic,174,,,,,,,
Nelson,Multiracial,68,,,,,,,
Nelson,White,1025,,,,,,,
Augusta,Indigenous,36,,,,,,,
Augusta,Asian,100,,,,,,,
Augusta,Black,362,,,,,,,
Augusta,Hispanic,704,,,,,,,
Augusta,Multiracial,534,,,,,,,
Augusta,White,8341,,,,,,,
Waynesboro,Indigenous,7,,,,,,,
Waynesboro,Asian,44,,,,,,,
Waynesboro,Black,506,,,,,,,
Waynesboro,Hispanic,623,,,,,,,
Waynesboro,Multiracial,354,,,,,,,
Waynesboro,White,1509,,,,,,,
Staunton,Indigenous,12,,,,,,,
Staunton,Asian,36,,,,,,,
Staunton,Black,358,,,,,,,
Staunton,Hispanic,233,,,,,,,
Staunton,Multiracial,365,,,,,,,
Staunton,White,1691,,,,,,,