School Year,Division Number,Division Name,School Number,School Name,English Learners,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2020-2021,39,Greene County,71,William Monroe Middle,Y,24,,24
2020-2021,54,Louisa County,660,Jouett Elementary,N,563,,563
2020-2021,54,Louisa County,660,Jouett Elementary,Y,12,,12
2020-2021,54,Louisa County,602,Louisa County High,N,"1,499",,"1,499"
2020-2021,54,Louisa County,602,Louisa County High,Y,15,,15
2020-2021,54,Louisa County,601,Louisa County Middle,N,"1,147",,"1,147"
2020-2021,54,Louisa County,601,Louisa County Middle,Y,18,,18
2020-2021,54,Louisa County,80,Moss-Nuckols Elementary,N,546,,546
2020-2021,54,Louisa County,80,Moss-Nuckols Elementary,Y,26,,26
2020-2021,54,Louisa County,610,Thomas Jefferson Elementary,N,549,,549
2020-2021,54,Louisa County,610,Thomas Jefferson Elementary,Y,35,,35
2020-2021,54,Louisa County,641,Trevilians Elementary,N,490,,490
2020-2021,54,Louisa County,641,Trevilians Elementary,Y,12,,12
2020-2021,56,Madison County,221,Madison County High,N,540,<,541
2020-2021,56,Madison County,221,Madison County High,Y,<,,<
2020-2021,56,Madison County,230,Madison Primary,N,317,41,358
2020-2021,56,Madison County,230,Madison Primary,Y,<,,<
2020-2021,56,Madison County,200,Waverly Yowell Elementary,N,355,,355
2020-2021,56,Madison County,200,Waverly Yowell Elementary,Y,<,,<
2020-2021,56,Madison County,222,William H. Wetsel Middle,N,392,<,393
2020-2021,56,Madison County,222,William H. Wetsel Middle,Y,<,,<
2020-2021,62,Nelson County,710,Nelson County High,N,553,,553
2020-2021,62,Nelson County,710,Nelson County High,Y,13,,13
2020-2021,62,Nelson County,730,Nelson Middle,N,370,,370
2020-2021,62,Nelson County,730,Nelson Middle,Y,<,,<
2020-2021,62,Nelson County,10,Rockfish River Elementary,N,253,,253
2020-2021,62,Nelson County,10,Rockfish River Elementary,Y,22,,22
2020-2021,62,Nelson County,20,Tye River Elementary,N,350,,350
2020-2021,62,Nelson County,20,Tye River Elementary,Y,11,,11
2020-2021,68,Orange County,360,Gordon-Barbour Elementary,N,290,,290
2020-2021,68,Orange County,360,Gordon-Barbour Elementary,Y,17,,17
2020-2021,68,Orange County,70,Lightfoot Elementary,N,223,<,224
2020-2021,68,Orange County,70,Lightfoot Elementary,Y,14,,14
2020-2021,68,Orange County,50,Locust Grove Elementary,N,438,,438
2020-2021,68,Orange County,50,Locust Grove Elementary,Y,16,,16
2020-2021,68,Orange County,471,Locust Grove Middle,N,604,,604
2020-2021,68,Orange County,471,Locust Grove Middle,Y,18,,18
2020-2021,68,Orange County,51,Locust Grove Primary School,N,385,,385
2020-2021,68,Orange County,51,Locust Grove Primary School,Y,16,,16
2020-2021,68,Orange County,330,Orange County High ,N,"1,423",<,"1,424"
2020-2021,68,Orange County,330,Orange County High ,Y,32,,32
2020-2021,68,Orange County,370,Orange Elementary,N,584,,584
2020-2021,68,Orange County,370,Orange Elementary,Y,41,,41
2020-2021,68,Orange County,340,Prospect Heights Middle,N,485,<,486
2020-2021,68,Orange County,340,Prospect Heights Middle,Y,20,,20
2020-2021,68,Orange County,350,Unionville Elementary,N,209,,209
2020-2021,68,Orange County,350,Unionville Elementary,Y,16,,16
2020-2021,126,Staunton City,40,Arthur R. Ware Elementary,N,384,,384
2020-2021,126,Staunton City,40,Arthur R. Ware Elementary,Y,<,,<
2020-2021,126,Staunton City,70,Bessie Weller Elementary,N,314,,314
2020-2021,126,Staunton City,70,Bessie Weller Elementary,Y,25,,25
2020-2021,126,Staunton City,110,Shelburne Middle,N,585,,585
2020-2021,126,Staunton City,110,Shelburne Middle,Y,<,,<
2020-2021,126,Staunton City,41,Staunton City School PreSchool Programs,N,81,,81
2020-2021,126,Staunton City,30,Staunton High,N,770,,770
2020-2021,126,Staunton City,30,Staunton High,Y,16,,16
2020-2021,126,Staunton City,90,Thomas C. McSwain Elementary,N,392,,392
2020-2021,126,Staunton City,90,Thomas C. McSwain Elementary,Y,<,,<
2020-2021,130,Waynesboro City,650,Berkeley Glenn Elementary,N,236,,236
2020-2021,130,Waynesboro City,650,Berkeley Glenn Elementary,Y,<,,<
2020-2021,130,Waynesboro City,640,Kate Collins Middle,N,634,,634
2020-2021,130,Waynesboro City,640,Kate Collins Middle,Y,36,,36
2020-2021,130,Waynesboro City,620,Wayne Hills Center,N,104,,104
2020-2021,130,Waynesboro City,600,Waynesboro High,N,839,<,840
2020-2021,130,Waynesboro City,600,Waynesboro High,Y,38,,38
2020-2021,130,Waynesboro City,580,Wenonah Elementary,N,184,,184
2020-2021,130,Waynesboro City,580,Wenonah Elementary,Y,41,,41
2020-2021,130,Waynesboro City,630,Westwood Hills Elementary,N,329,,329
2020-2021,130,Waynesboro City,630,Westwood Hills Elementary,Y,20,,20
2020-2021,130,Waynesboro City,751,William Perry Elementary,N,358,,358
2020-2021,130,Waynesboro City,751,William Perry Elementary,Y,18,,18
2021-2022,2,Albemarle County,160,Agnor-Hurt Elementary,N,340,,340
2021-2022,2,Albemarle County,160,Agnor-Hurt Elementary,Y,108,,108
2021-2022,2,Albemarle County,880,Albemarle High,N,"1,697",<,"1,703"
2021-2022,2,Albemarle County,880,Albemarle High,Y,172,,172
2021-2022,2,Albemarle County,1053,Baker-Butler Elem,N,587,,587
2021-2022,2,Albemarle County,1053,Baker-Butler Elem,Y,80,,80
2021-2022,2,Albemarle County,100,Broadus Wood Elementary,N,254,,254
2021-2022,2,Albemarle County,100,Broadus Wood Elementary,Y,<,,<
2021-2022,2,Albemarle County,941,Brownsville Elementary,N,745,,745
2021-2022,2,Albemarle County,941,Brownsville Elementary,Y,<,,<
2021-2022,2,Albemarle County,890,Community Lab School,N,190,,190
2021-2022,2,Albemarle County,890,Community Lab School,Y,<,,<
2021-2022,2,Albemarle County,340,Crozet Elementary,N,317,,317
2021-2022,2,Albemarle County,340,Crozet Elementary,Y,<,,<
2021-2022,2,Albemarle County,10,Hollymead Elementary,N,319,,319
2021-2022,2,Albemarle County,10,Hollymead Elementary,Y,17,,17
2021-2022,2,Albemarle County,950,Jack Jouett Middle,N,539,,539
2021-2022,2,Albemarle County,950,Jack Jouett Middle,Y,98,,98
2021-2022,2,Albemarle County,69,Jackson P. Burley Middle,N,486,<,488
2021-2022,2,Albemarle County,69,Jackson P. Burley Middle,Y,49,,49
2021-2022,2,Albemarle County,942,Joseph T. Henley Middle,N,821,<,824
2021-2022,2,Albemarle County,942,Joseph T. Henley Middle,Y,10,,10
2021-2022,2,Albemarle County,1051,Lakeside Middle,N,498,<,501
2021-2022,2,Albemarle County,1051,Lakeside Middle,Y,17,,17
2021-2022,2,Albemarle County,20,Leslie H. Walton Middle,N,315,<,317
2021-2022,2,Albemarle County,20,Leslie H. Walton Middle,Y,<,,<
2021-2022,2,Albemarle County,40,Mary Carr Greer Elementary,N,320,,320
2021-2022,2,Albemarle County,40,Mary Carr Greer Elementary,Y,154,,154
2021-2022,2,Albemarle County,250,Meriwether Lewis Elementary,N,317,,317
2021-2022,2,Albemarle County,250,Meriwether Lewis Elementary,Y,<,,<
2021-2022,2,Albemarle County,1052,Monticello High,N,"1,140",<,"1,147"
2021-2022,2,Albemarle County,1052,Monticello High,Y,59,,59
2021-2022,2,Albemarle County,150,Mountain View Elementary,N,597,,597
2021-2022,2,Albemarle County,150,Mountain View Elementary,Y,125,,125
2021-2022,2,Albemarle County,540,Red Hill Elementary,N,178,,178
2021-2022,2,Albemarle County,540,Red Hill Elementary,Y,<,,<
2021-2022,2,Albemarle County,30,Scottsville Elementary,N,209,,209
2021-2022,2,Albemarle County,30,Scottsville Elementary,Y,<,,<
2021-2022,2,Albemarle County,920,Stone Robinson Elementary,N,441,,441
2021-2022,2,Albemarle County,920,Stone Robinson Elementary,Y,26,,26
2021-2022,2,Albemarle County,240,Stony Point Elementary,N,182,,182
2021-2022,2,Albemarle County,240,Stony Point Elementary,Y,<,,<
2021-2022,2,Albemarle County,910,Virginia L. Murray Elementary,N,259,,259
2021-2022,2,Albemarle County,910,Virginia L. Murray Elementary,Y,<,,<
2021-2022,2,Albemarle County,140,Western Albemarle High,N,"1,142",<,"1,147"
2021-2022,2,Albemarle County,140,Western Albemarle High,Y,<,,<
2021-2022,2,Albemarle County,930,Woodbrook Elementary,N,431,,431
2021-2022,2,Albemarle County,930,Woodbrook Elementary,Y,122,,122
2021-2022,8,Augusta County,212,Beverley Manor Middle,N,609,,609
2021-2022,8,Augusta County,212,Beverley Manor Middle,Y,<,,<
2021-2022,8,Augusta County,660,Buffalo Gap High,N,450,,450
2021-2022,8,Augusta County,660,Buffalo Gap High,Y,<,,<
2021-2022,8,Augusta County,30,Cassell Elementary,N,657,,657
2021-2022,8,Augusta County,30,Cassell Elementary,Y,13,,13
2021-2022,8,Augusta County,140,Churchville Elementary,N,398,,398
2021-2022,8,Augusta County,140,Churchville Elementary,Y,<,,<
2021-2022,8,Augusta County,370,Craigsville Elementary,N,134,,134
2021-2022,8,Augusta County,842,Edward G. Clymore Elementary,N,675,,675
2021-2022,8,Augusta County,842,Edward G. Clymore Elementary,Y,48,,48
2021-2022,8,Augusta County,670,Fort Defiance High,N,715,<,716
2021-2022,8,Augusta County,670,Fort Defiance High,Y,<,,<
2021-2022,8,Augusta County,843,Guy K. Stump Elementary,N,421,,421
2021-2022,8,Augusta County,843,Guy K. Stump Elementary,Y,<,,<
2021-2022,8,Augusta County,40,North River Elementary,N,221,,221
2021-2022,8,Augusta County,40,North River Elementary,Y,17,,17
2021-2022,8,Augusta County,740,Riverheads Elementary,N,694,,694
2021-2022,8,Augusta County,740,Riverheads Elementary,Y,<,,<
2021-2022,8,Augusta County,680,Riverheads High,N,472,,472
2021-2022,8,Augusta County,680,Riverheads High,Y,<,,<
2021-2022,8,Augusta County,90,S. Gordon Stewart Middle,N,473,,473
2021-2022,8,Augusta County,90,S. Gordon Stewart Middle,Y,14,,14
2021-2022,8,Augusta County,440,Stuarts Draft Elementary,N,548,,548
2021-2022,8,Augusta County,440,Stuarts Draft Elementary,Y,10,,10
2021-2022,8,Augusta County,730,Stuarts Draft High,N,700,,700
2021-2022,8,Augusta County,730,Stuarts Draft High,Y,<,,<
2021-2022,8,Augusta County,60,Stuarts Draft Middle,N,451,,451
2021-2022,8,Augusta County,60,Stuarts Draft Middle,Y,<,,<
2021-2022,8,Augusta County,640,Wilson Elementary,N,618,,618
2021-2022,8,Augusta County,640,Wilson Elementary,Y,38,,38
2021-2022,8,Augusta County,720,Wilson Memorial High,N,804,<,805
2021-2022,8,Augusta County,720,Wilson Memorial High,Y,15,,15
2021-2022,8,Augusta County,844,Wilson Middle,N,614,,614
2021-2022,8,Augusta County,844,Wilson Middle,Y,<,,<
2021-2022,15,Buckingham County,724,Buckingham Co Elementary,N,401,,401
2021-2022,15,Buckingham County,724,Buckingham Co Elementary,Y,10,,10
2021-2022,15,Buckingham County,20,Buckingham Co Prekindergarten Center,N,88,,88
2021-2022,15,Buckingham County,723,Buckingham Co Primary,N,326,,326
2021-2022,15,Buckingham County,723,Buckingham Co Primary,Y,<,,<
2021-2022,15,Buckingham County,700,Buckingham County High,N,589,,589
2021-2022,15,Buckingham County,700,Buckingham County High,Y,<,,<
2021-2022,15,Buckingham County,721,Buckingham County Middle,N,497,,497
2021-2022,15,Buckingham County,721,Buckingham County Middle,Y,<,,<
2021-2022,104,Charlottesville City,100,Buford Middle,N,484,,484
2021-2022,104,Charlottesville City,100,Buford Middle,Y,60,,60
2021-2022,104,Charlottesville City,70,Burnley-Moran Elementary,N,288,,288
2021-2022,104,Charlottesville City,70,Burnley-Moran Elementary,Y,33,,33
2021-2022,104,Charlottesville City,140,Charlottesville High,N,"1,090",<,"1,092"
2021-2022,104,Charlottesville City,140,Charlottesville High,Y,117,,117
2021-2022,104,Charlottesville City,50,Clark Elementary,N,262,,262
2021-2022,104,Charlottesville City,50,Clark Elementary,Y,58,,58
2021-2022,104,Charlottesville City,90,Greenbrier Elementary,N,226,,226
2021-2022,104,Charlottesville City,90,Greenbrier Elementary,Y,53,,53
2021-2022,104,Charlottesville City,120,Jackson-Via Elementary,N,293,,293
2021-2022,104,Charlottesville City,120,Jackson-Via Elementary,Y,27,,27
2021-2022,104,Charlottesville City,10,Johnson Elementary,N,270,,270
2021-2022,104,Charlottesville City,10,Johnson Elementary,Y,28,,28
2021-2022,104,Charlottesville City,40,Venable Elementary,N,261,,261
2021-2022,104,Charlottesville City,40,Venable Elementary,Y,21,,21
2021-2022,104,Charlottesville City,110,Walker Upper Elementary,N,488,,488
2021-2022,104,Charlottesville City,110,Walker Upper Elementary,Y,78,,78
2021-2022,32,Fluvanna County,300,Carysbrook Elementary,N,436,,436
2021-2022,32,Fluvanna County,300,Carysbrook Elementary,Y,13,,13
2021-2022,32,Fluvanna County,310,Central Elementary,N,398,,398
2021-2022,32,Fluvanna County,310,Central Elementary,Y,12,,12
2021-2022,32,Fluvanna County,260,Fluvanna County High,N,"1,418",,"1,418"
2021-2022,32,Fluvanna County,260,Fluvanna County High,Y,21,,21
2021-2022,32,Fluvanna County,320,Fluvanna Middle,N,722,,722
2021-2022,32,Fluvanna County,320,Fluvanna Middle,Y,11,,11
2021-2022,32,Fluvanna County,330,West Central Primary,N,251,,251
2021-2022,32,Fluvanna County,330,West Central Primary,Y,<,,<
2021-2022,39,Greene County,20,Nathanael Greene Elementary,N,320,,320
2021-2022,39,Greene County,20,Nathanael Greene Elementary,Y,<,,<
2021-2022,39,Greene County,10,Nathanael Greene Primary,N,360,,360
2021-2022,39,Greene County,10,Nathanael Greene Primary,Y,13,,13
2021-2022,39,Greene County,30,Ruckersville Elementary,N,453,,453
2021-2022,39,Greene County,30,Ruckersville Elementary,Y,64,,64
2021-2022,39,Greene County,72,William Monroe High,N,896,,896
2021-2022,39,Greene County,72,William Monroe High,Y,33,,33
2021-2022,39,Greene County,71,William Monroe Middle,N,650,,650
2021-2022,39,Greene County,71,William Monroe Middle,Y,28,,28
2021-2022,54,Louisa County,660,Jouett Elementary,N,560,,560
2021-2022,54,Louisa County,660,Jouett Elementary,Y,11,,11
2021-2022,54,Louisa County,602,Louisa County High,N,"1,611",,"1,611"
2021-2022,54,Louisa County,602,Louisa County High,Y,19,,19
2021-2022,54,Louisa County,601,Louisa County Middle,N,"1,149",,"1,149"
2021-2022,54,Louisa County,601,Louisa County Middle,Y,19,,19
2021-2022,54,Louisa County,80,Moss-Nuckols Elementary,N,561,,561
2021-2022,54,Louisa County,80,Moss-Nuckols Elementary,Y,26,,26
2021-2022,54,Louisa County,610,Thomas Jefferson Elementary,N,598,,598
2021-2022,54,Louisa County,610,Thomas Jefferson Elementary,Y,39,,39
2021-2022,54,Louisa County,641,Trevilians Elementary,N,486,,486
2021-2022,54,Louisa County,641,Trevilians Elementary,Y,14,,14
2021-2022,56,Madison County,221,Madison County High,N,550,<,553
2021-2022,56,Madison County,221,Madison County High,Y,<,,<
2021-2022,56,Madison County,230,Madison Primary,N,315,42,357
2021-2022,56,Madison County,230,Madison Primary,Y,<,,<
2021-2022,56,Madison County,200,Waverly Yowell Elementary,N,332,,332
2021-2022,56,Madison County,200,Waverly Yowell Elementary,Y,15,,15
2021-2022,56,Madison County,222,William H. Wetsel Middle,N,380,,380
2021-2022,56,Madison County,222,William H. Wetsel Middle,Y,<,,<
2021-2022,62,Nelson County,710,Nelson County High,N,536,,536
2021-2022,62,Nelson County,710,Nelson County High,Y,<,,<
2021-2022,62,Nelson County,730,Nelson Middle,N,335,,335
2021-2022,62,Nelson County,730,Nelson Middle,Y,17,,17
2021-2022,62,Nelson County,10,Rockfish River Elementary,N,257,,257
2021-2022,62,Nelson County,10,Rockfish River Elementary,Y,25,,25
2021-2022,62,Nelson County,20,Tye River Elementary,N,336,,336
2021-2022,62,Nelson County,20,Tye River Elementary,Y,11,,11
2021-2022,68,Orange County,360,Gordon-Barbour Elementary,N,292,,292
2021-2022,68,Orange County,360,Gordon-Barbour Elementary,Y,20,,20
2021-2022,68,Orange County,70,Lightfoot Elementary,N,235,,235
2021-2022,68,Orange County,70,Lightfoot Elementary,Y,17,,17
2021-2022,68,Orange County,50,Locust Grove Elementary,N,462,,462
2021-2022,68,Orange County,50,Locust Grove Elementary,Y,19,,19
2021-2022,68,Orange County,471,Locust Grove Middle,N,623,,623
2021-2022,68,Orange County,471,Locust Grove Middle,Y,23,,23
2021-2022,68,Orange County,51,Locust Grove Primary,N,405,,405
2021-2022,68,Orange County,51,Locust Grove Primary,Y,16,,16
2021-2022,68,Orange County,330,Orange County High ,N,"1,478",<,"1,479"
2021-2022,68,Orange County,330,Orange County High ,Y,38,,38
2021-2022,68,Orange County,370,Orange Elementary,N,602,,602
2021-2022,68,Orange County,370,Orange Elementary,Y,39,,39
2021-2022,68,Orange County,340,Prospect Heights Middle,N,443,,443
2021-2022,68,Orange County,340,Prospect Heights Middle,Y,21,,21
2021-2022,68,Orange County,350,Unionville Elementary,N,215,,215
2021-2022,68,Orange County,350,Unionville Elementary,Y,14,,14
2021-2022,126,Staunton City,40,Arthur R. Ware Elementary,N,380,,380
2021-2022,126,Staunton City,40,Arthur R. Ware Elementary,Y,11,,11
2021-2022,126,Staunton City,70,Bessie Weller Elementary,N,335,,335
2021-2022,126,Staunton City,70,Bessie Weller Elementary,Y,29,,29
2021-2022,126,Staunton City,110,Shelburne Middle,N,575,,575
2021-2022,126,Staunton City,110,Shelburne Middle,Y,12,,12
2021-2022,126,Staunton City,41,Staunton City School PreSchool Programs,N,114,,114
2021-2022,126,Staunton City,30,Staunton High,N,818,,818
2021-2022,126,Staunton City,30,Staunton High,Y,18,,18
2021-2022,126,Staunton City,90,Thomas C. McSwain Elementary,N,421,,421
2021-2022,126,Staunton City,90,Thomas C. McSwain Elementary,Y,<,,<
2021-2022,130,Waynesboro City,650,Berkeley Glenn Elementary ,N,229,,229
2021-2022,130,Waynesboro City,650,Berkeley Glenn Elementary ,Y,15,,15
2021-2022,130,Waynesboro City,640,Kate Collins Middle ,N,630,,630
2021-2022,130,Waynesboro City,640,Kate Collins Middle ,Y,39,,39
2021-2022,130,Waynesboro City,620,Wayne Hills Center,N,145,,145
2021-2022,130,Waynesboro City,600,Waynesboro High ,N,829,<,830
2021-2022,130,Waynesboro City,600,Waynesboro High ,Y,48,,48
2021-2022,130,Waynesboro City,580,Wenonah Elementary ,N,184,,184
2021-2022,130,Waynesboro City,580,Wenonah Elementary ,Y,46,,46
2021-2022,130,Waynesboro City,630,Westwood Hills Elementary ,N,356,,356
2021-2022,130,Waynesboro City,630,Westwood Hills Elementary ,Y,23,,23
2021-2022,130,Waynesboro City,751,William Perry Elementary ,N,390,,390
2021-2022,130,Waynesboro City,751,William Perry Elementary ,Y,34,,34
2022-2023,2,Albemarle County,160,Agnor-Hurt Elementary,N,323,,323
2022-2023,2,Albemarle County,160,Agnor-Hurt Elementary,Y,105,,105
2022-2023,2,Albemarle County,880,Albemarle High,N,"1,728",<,"1,733"
2022-2023,2,Albemarle County,880,Albemarle High,Y,223,,223
2022-2023,2,Albemarle County,1053,Baker-Butler Elem,N,630,,630
2022-2023,2,Albemarle County,1053,Baker-Butler Elem,Y,95,,95
2022-2023,2,Albemarle County,100,Broadus Wood Elementary,N,274,,274
2022-2023,2,Albemarle County,100,Broadus Wood Elementary,Y,13,,13
2022-2023,2,Albemarle County,941,Brownsville Elementary,N,578,,578
2022-2023,2,Albemarle County,941,Brownsville Elementary,Y,12,,12
2022-2023,2,Albemarle County,890,Community Lab School,N,187,,187
2022-2023,2,Albemarle County,890,Community Lab School,Y,<,,<
2022-2023,2,Albemarle County,340,Crozet Elementary,N,506,,506
2022-2023,2,Albemarle County,340,Crozet Elementary,Y,<,,<
2022-2023,2,Albemarle County,10,Hollymead Elementary,N,325,,325
2022-2023,2,Albemarle County,10,Hollymead Elementary,Y,21,,21
2022-2023,2,Albemarle County,69,Jackson P. Burley Middle,N,476,,476
2022-2023,2,Albemarle County,69,Jackson P. Burley Middle,Y,67,,67
2022-2023,2,Albemarle County,942,Joseph T. Henley Middle,N,791,<,795
2022-2023,2,Albemarle County,942,Joseph T. Henley Middle,Y,11,,11
2022-2023,2,Albemarle County,950,Journey Middle,N,468,,468
2022-2023,2,Albemarle County,950,Journey Middle,Y,116,,116
2022-2023,2,Albemarle County,1051,Lakeside Middle,N,459,<,460
2022-2023,2,Albemarle County,1051,Lakeside Middle,Y,31,,31
2022-2023,2,Albemarle County,20,Leslie H. Walton Middle,N,320,,320
2022-2023,2,Albemarle County,20,Leslie H. Walton Middle,Y,11,,11
2022-2023,2,Albemarle County,40,Mary Carr Greer Elementary,N,321,,321
2022-2023,2,Albemarle County,40,Mary Carr Greer Elementary,Y,171,,171
2022-2023,2,Albemarle County,250,Meriwether Lewis Elementary,N,334,,334
2022-2023,2,Albemarle County,250,Meriwether Lewis Elementary,Y,<,,<
2022-2023,2,Albemarle County,1052,Monticello High,N,"1,145",<,"1,149"
2022-2023,2,Albemarle County,1052,Monticello High,Y,62,,62
2022-2023,2,Albemarle County,150,Mountain View Elementary,N,622,,622
2022-2023,2,Albemarle County,150,Mountain View Elementary,Y,126,,126
2022-2023,2,Albemarle County,540,Red Hill Elementary,N,190,,190
2022-2023,2,Albemarle County,540,Red Hill Elementary,Y,11,,11
2022-2023,2,Albemarle County,30,Scottsville Elementary,N,222,,222
2022-2023,2,Albemarle County,30,Scottsville Elementary,Y,<,,<
2022-2023,2,Albemarle County,920,Stone Robinson Elementary,N,448,,448
2022-2023,2,Albemarle County,920,Stone Robinson Elementary,Y,23,,23
2022-2023,2,Albemarle County,240,Stony Point Elementary,N,185,,185
2022-2023,2,Albemarle County,240,Stony Point Elementary,Y,<,,<
2022-2023,2,Albemarle County,910,Virginia L. Murray Elementary,N,271,,271
2022-2023,2,Albemarle County,910,Virginia L. Murray Elementary,Y,<,,<
2022-2023,2,Albemarle County,140,Western Albemarle High,N,"1,148",<,"1,152"
2022-2023,2,Albemarle County,140,Western Albemarle High,Y,<,,<
2022-2023,2,Albemarle County,930,Woodbrook Elementary,N,463,,463
2022-2023,2,Albemarle County,930,Woodbrook Elementary,Y,135,,135
2022-2023,8,Augusta County,212,Beverley Manor Middle,N,590,,590
2022-2023,8,Augusta County,212,Beverley Manor Middle,Y,<,,<
2022-2023,8,Augusta County,660,Buffalo Gap High,N,431,,431
2022-2023,8,Augusta County,660,Buffalo Gap High,Y,<,,<
2022-2023,8,Augusta County,30,Cassell Elementary,N,651,,651
2022-2023,8,Augusta County,30,Cassell Elementary,Y,<,,<
2022-2023,8,Augusta County,140,Churchville Elementary,N,432,,432
2022-2023,8,Augusta County,140,Churchville Elementary,Y,<,,<
2022-2023,8,Augusta County,370,Craigsville Elementary,N,143,,143
2022-2023,8,Augusta County,370,Craigsville Elementary,Y,<,,<
2022-2023,8,Augusta County,842,Edward G. Clymore Elementary,N,704,,704
2022-2023,8,Augusta County,842,Edward G. Clymore Elementary,Y,67,,67
2022-2023,8,Augusta County,670,Fort Defiance High,N,703,,703
2022-2023,8,Augusta County,670,Fort Defiance High,Y,16,,16
2022-2023,8,Augusta County,843,Guy K. Stump Elementary,N,445,,445
