Year,District,School,Latitude,Longitude,Indigenous_Count,Asian_Count,Black_Count,Hispanic_Count,Multiracial_Count,White_Count,Total_Count,Disadvantaged_Count,EL_Count,Asian,Black,Hispanic,Multiracial,White,Disadvantaged,EL,D_Asian,D_Black,D_Hispanic,D_Multiracial,D_White,,,D_Total_Count,D_Disadvantaged,D_EL
2022-2023,Albemarle County,Agnor-Hurt Elementary,38.08954,-78.47695,0,30,88,136,36,148,438,203,105,6.8493,20.0913,31.0502,8.2192,33.7900,46.3470,23.9726,5.8,11.9,15.8,7.2,59.1,31.01868423,8.826687666,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Albemarle High,38.07547,-78.50001,2,157,338,378,136,987,1998,662,223,7.8579,16.9169,18.9189,6.8068,49.3994,33.1331,11.1612,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Baker-Butler Elem,38.12356,-78.42041,3,82,71,115,384,85,740,210,95,11.0811,9.5946,15.5405,51.8919,11.4865,28.3784,12.8378,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Broadus Wood Elementary,38.16257,-78.48957,0,6,6,32,16,228,288,57,13,2.0833,2.0833,11.1111,5.5556,79.1667,19.7917,4.5139,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Brownsville Elementary,38.05233,-78.70130,0,31,18,29,38,474,590,100,12,5.2542,3.0508,4.9153,6.4407,80.3390,16.9492,2.0339,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Community Lab School,38.04100,-78.48202,1,7,11,22,19,132,192,15,0,3.6458,5.7292,11.4583,9.8958,68.7500,7.8125,0.0000,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Crozet Elementary,38.07568,-78.69482,0,17,7,38,31,421,514,81,0,3.3074,1.3619,7.3930,6.0311,81.9066,15.7588,0.0000,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Hollymead Elementary,38.11331,-78.43716,0,64,21,22,35,210,352,62,21,18.1818,5.9659,6.2500,9.9432,59.6591,17.6136,5.9659,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Jackson P. Burley Middle,38.04052,-78.48275,1,26,113,152,50,246,588,267,67,4.4218,19.2177,25.8503,8.5034,41.8367,45.4082,11.3946,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Joseph T. Henley Middle,38.05269,-78.70353,0,28,18,50,44,672,812,108,11,3.4483,2.2167,6.1576,5.4187,82.7586,13.3005,1.3547,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Journey Middle,38.07741,-78.50419,1,34,146,175,50,228,634,328,116,5.3628,23.0284,27.6025,7.8864,35.9621,51.7350,18.2965,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Lakeside Middle,38.11267,-78.43588,0,61,37,61,39,316,514,122,31,11.8677,7.1984,11.8677,7.5875,61.4786,23.7354,6.0311,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Leslie H. Walton Middle,37.92194,-78.55126,1,6,26,38,18,251,340,129,11,1.7647,7.6471,11.1765,5.2941,73.8235,37.9412,3.2353,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Mary Carr Greer Elementary,38.07978,-78.5028,1,37,128,171,39,119,495,258,171,7.4747,25.8586,34.5455,7.8788,24.0404,52.1212,34.5455,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Meriwether Lewis Elementary,38.08154,-78.59772,0,9,2,21,12,299,343,26,0,2.6239,0.5831,6.1224,3.4985,87.1720,7.5802,0.0000,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Monticello High,37.99911,-78.48863,2,37,151,210,87,748,1235,442,62,2.9960,12.2267,17.0040,7.0445,60.5668,35.7895,5.0202,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Mountain View Elementary,37.9965,-78.49918,2,22,129,208,64,327,752,349,126,2.9255,17.1543,27.6596,8.5106,43.4840,46.4096,16.7553,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Red Hill Elementary,37.96459,-78.6345,0,1,10,30,16,144,201,89,11,0.4975,4.9751,14.9254,7.9602,71.6418,44.2786,5.4726,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Scottsville Elementary,37.81873,-78.51044,0,0,26,18,18,165,227,98,0,0.0000,11.4537,7.9295,7.9295,72.6872,43.1718,0.0000,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Stone Robinson Elementary,38.01078,-78.39569,0,26,49,49,43,306,473,151,23,5.4968,10.3594,10.3594,9.0909,64.6934,31.9239,4.8626,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Stony Point Elementary,38.11223,-78.36874,0,8,25,16,12,128,189,52,0,4.2328,13.2275,8.4656,6.3492,67.7249,27.5132,0.0000,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Virginia L. Murray Elementary,38.05831,-78.61194,3,27,10,16,20,206,282,24,0,9.5745,3.5461,5.6738,7.0922,73.0496,8.5106,0.0000,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Western Albemarle High,38.04736,-78.70678,4,45,15,78,43,978,1163,151,0,3.8693,1.2898,6.7068,3.6973,84.0929,12.9837,0.0000,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Albemarle County,Woodbrook Elementary,38.08723,-78.46558,0,47,222,148,52,140,609,349,135,7.7176,36.4532,24.3021,8.5386,22.9885,57.3071,22.1675,5.8,11.9,15.8,7.2,59.1,,,13969,31.01868423,8.826687666
2022-2023,Charlottesville City,Buford Middle,38.02752,-78.49600,0,33,177,86,77,210,583,350,74,5.6604,30.3602,14.7513,13.2075,36.0206,60.0343,12.6930,5.3,28.0,13.1,13.6,40.0,53.52928078,13.7831218,4491,53.52928078,13.7831218
2022-2023,Charlottesville City,Burnley-Moran Elementary,38.03592,-78.46214,0,8,58,23,40,160,289,121,23,2.7682,20.0692,7.9585,13.8408,55.3633,41.8685,7.9585,5.3,28.0,13.1,13.6,40.0,,,4491,53.52928078,13.7831218
2022-2023,Charlottesville City,Charlottesville High,38.05313,-78.47350,3,61,394,193,140,571,1362,661,183,4.4787,28.9280,14.1703,10.2790,41.9236,48.5316,13.4361,5.3,28.0,13.1,13.6,40.0,,,4491,53.52928078,13.7831218
2022-2023,Charlottesville City,Clark Elementary,38.02323,-78.47286,0,33,110,57,62,91,353,270,67,9.3484,31.1615,16.1473,17.5637,25.7790,76.4873,18.9802,5.3,28.0,13.1,13.6,40.0,,,4491,53.52928078,13.7831218
2022-2023,Charlottesville City,Greenbrier Elementary,38.06437,-78.46895,1,21,52,48,43,150,315,139,58,6.6667,16.5079,15.2381,13.6508,47.6190,44.1270,18.4127,5.3,28.0,13.1,13.6,40.0,,,4491,53.52928078,13.7831218
2022-2023,Charlottesville City,Jackson-Via Elementary,38.01486,-78.50263,0,23,106,41,56,118,344,213,49,6.6860,30.8140,11.9186,16.2791,34.3023,61.9186,14.2442,5.3,28.0,13.1,13.6,40.0,,,4491,53.52928078,13.7831218
2022-2023,Charlottesville City,Johnson Elementary,38.0223,-78.50587,0,10,110,33,63,106,322,177,42,3.1056,34.1615,10.2484,19.5652,32.9193,54.9689,13.0435,5.3,28.0,13.1,13.6,40.0,,,4491,53.52928078,13.7831218
2022-2023,Charlottesville City,Venable Elementary,38.03872,-78.49682,0,14,85,16,42,149,306,135,27,4.5752,27.7778,5.2288,13.7255,48.6928,44.1176,8.8235,5.3,28.0,13.1,13.6,40.0,,,4491,53.52928078,13.7831218
2022-2023,Charlottesville City,Walker Upper Elementary,38.05392,-78.48343,0,35,164,90,88,240,617,338,96,5.6726,26.5802,14.5867,14.2626,38.8979,54.7812,15.5592,5.3,28.0,13.1,13.6,40.0,,,4491,53.52928078,13.7831218
2022-2023,Augusta County,Beverley Manor Middle,38.14637,-79.12168,1,4,7,30,26,529,597,260,0,0.6700,1.1725,5.0251,4.3551,88.6097,43.5511,0.0000,1.0,3.6,7.0,5.3,82.8,44.44775231,2.19311303,10694,44.44775231,2.19311303
2022-2023,Augusta County,Buffalo Gap High,38.19429,-79.21743,1,2,2,15,10,405,435,168,0,0.4598,0.4598,3.4483,2.2989,93.1034,38.6207,0.0000,1.0,3.6,7.0,5.3,82.8,,,10694,44.44775231,2.19311303
2022-2023,Augusta County,Cassell Elementary,38.13088,-78.87063,0,0,18,33,44,566,661,310,0,0.0000,2.7231,4.9924,6.6566,85.6278,46.8986,0.0000,1.0,3.6,7.0,5.3,82.8,,,10694,44.44775231,2.19311303
2022-2023,Augusta County,Churchville Elementary,38.2226,-79.15992,3,0,3,5,14,408,433,179,0,0.0000,0.6928,1.1547,3.2333,94.2263,41.3395,0.0000,1.0,3.6,7.0,5.3,82.8,,,10694,44.44775231,2.19311303
2022-2023,Augusta County,Craigsville Elementary,38.0821,-79.38028,2,1,0,10,10,123,146,100,0,0.6849,0.0000,6.8493,6.8493,84.2466,68.4932,0.0000,1.0,3.6,7.0,5.3,82.8,,,10694,44.44775231,2.19311303
2022-2023,Augusta County,Edward G. Clymore Elementary,38.24647,-78.97682,0,4,26,97,42,606,775,377,67,0.5161,3.3548,12.5161,5.4194,78.1935,48.6452,8.6452,1.0,3.6,7.0,5.3,82.8,,,10694,44.44775231,2.19311303
2022-2023,Augusta County,Fort Defiance High,38.24753,-78.97488,3,7,20,83,17,597,727,299,16,0.9629,2.7510,11.4168,2.3384,82.1183,41.1279,2.2008,1.0,3.6,7.0,5.3,82.8,,,10694,44.44775231,2.19311303
2022-2023,Augusta County,Guy K. Stump Elementary,38.03004,-79.03442,0,3,21,18,37,372,451,194,0,0.6652,4.6563,3.9911,8.2040,82.4834,43.0155,0.0000,1.0,3.6,7.0,5.3,82.8,,,10694,44.44775231,2.19311303
2022-2023,Augusta County,North River Elementary,38.31502,-79.07799,0,0,6,27,9,197,239,130,23,0.0000,2.5105,11.2971,3.7657,82.4268,54.3933,9.6234,1.0,3.6,7.0,5.3,82.8,,,10694,44.44775231,2.19311303
2022-2023,Augusta County,Riverheads Elementary,38.03303,-79.014285,1,5,17,30,37,647,737,348,0,0.6784,2.3066,4.0706,5.0204,87.7883,47.2185,0.0000,1.0,3.6,7.0,5.3,82.8,,,10694,44.44775231,2.19311303
2022-2023,Augusta County,Riverheads High,38.03279,-79.13919,0,4,6,15,10,429,464,179,0,0.8621,1.2931,3.2328,2.1552,92.4569,38.5776,0.0000,1.0,3.6,7.0,5.3,82.8,,,10694,44.44775231,2.19311303
2022-2023,Augusta County,S. Gordon Stewart Middle,38.24444,-78.9755,3,1,15,46,18,419,502,236,14,0.1992,2.9880,9.1633,3.5857,83.4661,47.0120,2.7888,1.0,3.6,7.0,5.3,82.8,,,10694,44.44775231,2.19311303
2022-2023,Augusta County,Stuarts Draft Elementary,38.04717,-79.00759,2,6,25,48,56,449,586,296,15,1.0239,4.2662,8.1911,9.5563,76.6212,50.5119,2.5597,1.0,3.6,7.0,5.3,82.8,,,10694,44.44775231,2.19311303
2022-2023,Augusta County,Stuarts Draft High,38.04689,-79.01122,1,16,25,41,33,583,699,266,10,2.2890,3.5765,5.8655,4.7210,83.4049,38.0544,1.4306,1.0,3.6,7.0,5.3,82.8,,,10694,44.44775231,2.19311303
2022-2023,Augusta County,Stuarts Draft Middle,38.04491,-79.01058,4,6,19,40,36,383,488,225,0,1.2295,3.8934,8.1967,7.3770,78.4836,46.1066,0.0000,1.0,3.6,7.0,5.3,82.8,,,10694,44.44775231,2.19311303
2022-2023,Augusta County,Wilson Elementary,38.11441,-78.99008,7,16,64,67,56,437,647,290,45,2.4730,9.8918,10.3555,8.6553,67.5425,44.8223,6.9552,1.0,3.6,7.0,5.3,82.8,,,10694,44.44775231,2.19311303
2022-2023,Augusta County,Wilson Memorial High,38.12144,-78.98489,3,16,52,57,40,690,858,324,20,1.8648,6.0606,6.6434,4.6620,80.4196,37.7622,2.3310,1.0,3.6,7.0,5.3,82.8,,,10694,44.44775231,2.19311303
2022-2023,Augusta County,Wilson Middle,38.12113,-78.98821,5,9,36,42,39,501,632,298,11,1.4241,5.6962,6.6456,6.1709,79.2722,47.1519,1.7405,1.0,3.6,7.0,5.3,82.8,,,10694,44.44775231,2.19311303
2022-2023,Buckingham County,Buckingham Co Elementary,37.55316,-78.4833,1,1,134,24,34,223,417,280,13,0.2398,32.1343,5.7554,8.1535,53.4772,67.1463,3.1175,0.2,33.7,4.8,9.0,52.1,63.30321285,0.652610442,1992,63.30321285,0.652610442
2022-2023,Buckingham County,Buckingham Co Prekindergarten Center,37.54257,-78.5085,0,1,37,2,5,55,100,56,0,1.0000,37.0000,2.0000,5.0000,55.0000,56.0000,0.0000,0.2,33.7,4.8,9.0,52.1,,,1992,63.30321285,0.652610442
2022-2023,Buckingham County,Buckingham Co Primary,37.554505,-78.48376,2,0,110,18,43,182,355,238,0,0.0000,30.9859,5.0704,12.1127,51.2676,67.0423,0.0000,0.2,33.7,4.8,9.0,52.1,,,1992,63.30321285,0.652610442
2022-2023,Buckingham County,Buckingham County High,37.54171,-78.51207,0,2,221,32,50,349,654,385,0,0.3058,33.7920,4.8930,7.6453,53.3639,58.8685,0.0000,0.2,33.7,4.8,9.0,52.1,,,1992,63.30321285,0.652610442
2022-2023,Buckingham County,Buckingham County Middle,37.53597,-78.50191,0,0,170,20,48,228,466,302,0,0.0000,36.4807,4.2918,10.3004,48.9270,64.8069,0.0000,0.2,33.7,4.8,9.0,52.1,,,1992,63.30321285,0.652610442
2022-2023,Greene County,Nathanael Greene Elementary,38.29619,-78.44639,1,1,15,26,41,269,353,193,13,0.2833,4.2493,7.3654,11.6147,76.2040,54.6742,3.6827,1.6,6.4,13.5,9.4,68.9,46.01832276,5.073995772,2838,46.01832276,5.073995772
2022-2023,Greene County,Nathanael Greene Primary,38.29681,-78.4444,0,2,20,36,34,255,347,212,10,0.5764,5.7637,10.3746,9.7983,73.4870,61.0951,2.8818,1.6,6.4,13.5,9.4,68.9,,,2838,46.01832276,5.073995772
2022-2023,Greene County,Ruckersville Elementary,38.24304,-78.38756,0,14,49,94,53,296,506,201,59,2.7668,9.6838,18.5771,10.4743,58.4980,39.7233,11.6601,1.6,6.4,13.5,9.4,68.9,,,2838,46.01832276,5.073995772
2022-2023,Greene County,William Monroe High,38.29431,-78.44487,3,17,56,127,79,675,957,405,35,1.7764,5.8516,13.2706,8.2550,70.5329,42.3197,3.6573,1.6,6.4,13.5,9.4,68.9,,,2838,46.01832276,5.073995772
2022-2023,Greene County,William Monroe Middle,38.29578,-78.44241,1,12,43,100,59,460,675,295,27,1.7778,6.3704,14.8148,8.7407,68.1481,43.7037,4.0000,1.6,6.4,13.5,9.4,68.9,,,2838,46.01832276,5.073995772
2022-2023,Fluvanna County,Carysbrook Elementary,37.81397,-78.24405,1,3,51,51,51,315,472,200,21,0.6356,10.8051,10.8051,10.8051,66.7373,42.3729,4.4492,0.6,13.8,9.4,9.2,66.7,41.0122164,2.73414776,3438,41.0122164,2.73414776
2022-2023,Fluvanna County,Central Elementary,37.82362,-78.27825,0,5,99,67,85,459,715,362,24,0.6993,13.8462,9.3706,11.8881,64.1958,50.6294,3.3566,0.6,13.8,9.4,9.2,66.7,,,3438,41.0122164,2.73414776
2022-2023,Fluvanna County,Fluvanna County High,37.87242,-78.29857,4,7,220,129,110,1019,1489,534,24,0.4701,14.7750,8.6635,7.3875,68.4352,35.8630,1.6118,0.6,13.8,9.4,9.2,66.7,,,3438,41.0122164,2.73414776
2022-2023,Fluvanna County,Fluvanna Middle,37.8254,-78.27351,0,5,106,77,72,502,762,314,25,0.6562,13.9108,10.1050,9.4488,65.8793,41.2073,3.2808,0.6,13.8,9.4,9.2,66.7,,,3438,41.0122164,2.73414776
2022-2023,Staunton City,Arthur R. Ware Elementary,38.16146,-79.09824,1,3,31,36,68,239,378,89,16,0.7937,8.2011,9.5238,17.9894,63.2275,23.5450,4.2328,1.3,13.3,18.6,13.5,62.7,29.42486085,3.487940631,2695,29.42486085,3.487940631
2022-2023,Staunton City,Bessie Weller Elementary,38.13895,-79.07203,0,11,77,42,62,177,369,98,37,2.9810,20.8672,11.3821,16.8022,47.9675,26.5583,10.0271,1.3,13.3,18.6,13.5,62.7,,,2695,29.42486085,3.487940631
2022-2023,Staunton City,Shelburne Middle,38.15998,-79.0978,7,9,76,43,72,369,576,212,20,1.5625,13.1944,7.4653,12.5000,64.0625,36.8056,3.4722,1.3,13.3,18.6,13.5,62.7,,,2695,29.42486085,3.487940631
2022-2023,Staunton City,Staunton City School PreSchool Programs,38.17598,-79.08584,0,3,12,13,19,87,134,0,0,2.2388,8.9552,9.7015,14.1791,64.9254,0.0000,0.0000,1.3,13.3,18.6,13.5,62.7,,,2695,29.42486085,3.487940631
2022-2023,Staunton City,Staunton High,38.16507,-79.0527,3,10,132,70,104,504,823,319,21,1.2151,16.0389,8.5055,12.6367,61.2394,38.7606,2.5516,1.3,13.3,18.6,13.5,62.7,,,2695,29.42486085,3.487940631
2022-2023,Staunton City,Thomas C. McSwain Elementary,38.16391,-79.05648,1,0,30,29,40,315,415,75,0,0.0000,7.2289,6.9880,9.6386,75.9036,18.0723,0.0000,1.3,13.3,18.6,13.5,62.7,,,2695,29.42486085,3.487940631
2022-2023,Waynesboro City,Berkeley Glenn Elementary,38.05638,-78.89887,0,3,30,38,38,145,254,164,17,1.1811,11.8110,14.9606,14.9606,57.0866,64.5669,6.6929,1.4,16.6,20.5,11.6,49.6,66.96939119,8.375378406,2973,66.96939119,8.375378406
2022-2023,Waynesboro City,Kate Collins Middle,38.08117,-78.894,1,10,115,136,72,310,644,407,55,1.5528,17.8571,21.1180,11.1801,48.1366,63.1988,8.5404,1.4,16.6,20.5,11.6,49.6,,,2973,66.96939119,8.375378406
2022-2023,Waynesboro City,Wayne Hills Center,38.08046,-78.88876,0,2,31,53,34,65,185,104,0,1.0811,16.7568,28.6486,18.3784,35.1351,56.2162,0.0000,1.4,16.6,20.5,11.6,49.6,,,2973,66.96939119,8.375378406
2022-2023,Waynesboro City,Waynesboro High,38.07083,-78.89785,3,13,149,182,95,465,907,562,63,1.4333,16.4278,20.0662,10.4741,51.2679,61.9625,6.9460,1.4,16.6,20.5,11.6,49.6,,,2973,66.96939119,8.375378406
2022-2023,Waynesboro City,Wenonah Elementary,38.06835,-78.87902,1,0,50,68,15,89,223,192,42,0.0000,22.4215,30.4933,6.7265,39.9103,86.0987,18.8341,1.4,16.6,20.5,11.6,49.6,,,2973,66.96939119,8.375378406
2022-2023,Waynesboro City,Westwood Hills Elementary,38.06981,-78.90973,1,3,55,2,41,212,314,234,32,0.9554,17.5159,0.6369,13.0573,67.5159,74.5223,10.1911,1.4,16.6,20.5,11.6,49.6,,,2973,66.96939119,8.375378406
2022-2023,Waynesboro City,William Perry Elementary,38.08392,-78.87982,1,13,76,74,59,223,446,328,40,2.9148,17.0404,16.5919,13.2287,50.0000,73.5426,8.9686,1.4,16.6,20.5,11.6,49.6,,,2973,66.96939119,8.375378406
2022-2023,Louisa County,Jouett Elementary,37.89791,-77.84452,2,5,46,21,41,506,621,277,18,0.8052,7.4074,3.3816,6.6023,81.4815,44.6055,2.8986,0.7,14.6,7.2,8.4,68.8,41.32199459,2.957093158,5174,41.32199459,2.957093158
2022-2023,Louisa County,Louisa County High,38.01786,-77.9202,4,14,263,135,116,1121,1653,654,26,0.8469,15.9105,8.1670,7.0175,67.8161,39.5644,1.5729,0.7,14.6,7.2,8.4,68.8,,,5174,41.32199459,2.957093158
2022-2023,Louisa County,Louisa County Middle,38.02056,-77.92498,1,6,159,91,93,801,1151,463,30,0.5213,13.8141,7.9062,8.0799,69.5917,40.2259,2.6064,0.7,14.6,7.2,8.4,68.8,,,5174,41.32199459,2.957093158
2022-2023,Louisa County,Moss-Nuckols Elementary,37.95601,-78.0883,2,9,135,38,44,351,579,213,31,1.5544,23.3161,6.5630,7.5993,60.6218,36.7876,5.3541,0.7,14.6,7.2,8.4,68.8,,,5174,41.32199459,2.957093158
2022-2023,Louisa County,Thomas Jefferson Elementary,37.99458,-77.96205,2,3,78,57,81,413,634,302,35,0.4732,12.3028,8.9905,12.7760,65.1420,47.6341,5.5205,0.7,14.6,7.2,8.4,68.8,,,5174,41.32199459,2.957093158
2022-2023,Louisa County,Trevilians Elementary,38.07597,-78.09936,2,0,76,31,59,368,536,229,13,0.0000,14.1791,5.7836,11.0075,68.6567,42.7239,2.4254,0.7,14.6,7.2,8.4,68.8,,,5174,41.32199459,2.957093158
2022-2023,Nelson County,Nelson County High,37.73272,-78.89555,3,1,70,49,30,364,517,316,0,0.1934,13.5397,9.4778,5.8027,70.4062,61.1219,0.0000,0.5,13.6,11.8,4.6,69.3,62.63513514,2.702702703,1480,62.63513514,2.702702703
2022-2023,Nelson County,Nelson Middle,37.73351,-78.89478,2,2,50,39,18,229,340,224,12,0.5882,14.7059,11.4706,5.2941,67.3529,65.8824,3.5294,0.5,13.6,11.8,4.6,69.3,,,1480,62.63513514,2.702702703
2022-2023,Nelson County,Rockfish River Elementary,37.94529,-78.83746,0,2,24,50,8,184,268,163,16,0.7463,8.9552,18.6567,2.9851,68.6567,60.8209,5.9701,0.5,13.6,11.8,4.6,69.3,,,1480,62.63513514,2.702702703
2022-2023,Nelson County,Tye River Elementary,37.71033,-78.91214,0,2,57,36,12,248,355,224,12,0.5634,16.0563,10.1408,3.3803,69.8592,63.0986,3.3803,0.5,13.6,11.8,4.6,69.3,,,1480,62.63513514,2.702702703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,