School Year,Division Number,Division Name,School Number,School Name,Disadvantaged,FT Count,PT Count,Total Count
2024-2025,2,Albemarle County,160,Agnor Elementary,N,326,,326
2024-2025,2,Albemarle County,160,Agnor Elementary,Y,197,,197
2024-2025,2,Albemarle County,880,Albemarle High,N,"1,386",<,"1,390"
2024-2025,2,Albemarle County,880,Albemarle High,Y,585,,585
2024-2025,2,Albemarle County,1053,Baker-Butler Elementary,N,491,,491
2024-2025,2,Albemarle County,1053,Baker-Butler Elementary,Y,201,,201
2024-2025,2,Albemarle County,100,Broadus Wood Elementary,N,233,,233
2024-2025,2,Albemarle County,100,Broadus Wood Elementary,Y,49,,49
2024-2025,2,Albemarle County,941,Brownsville Elementary,N,462,,462
2024-2025,2,Albemarle County,941,Brownsville Elementary,Y,68,,68
2024-2025,2,Albemarle County,890,Community Lab School,N,169,,169
2024-2025,2,Albemarle County,890,Community Lab School,Y,<,,<
2024-2025,2,Albemarle County,340,Crozet Elementary,N,487,,487
2024-2025,2,Albemarle County,340,Crozet Elementary,Y,84,,84
2024-2025,2,Albemarle County,10,Hollymead Elementary,N,355,,355
2024-2025,2,Albemarle County,10,Hollymead Elementary,Y,97,,97
2024-2025,2,Albemarle County,250,Ivy Elementary,N,327,,327
2024-2025,2,Albemarle County,250,Ivy Elementary,Y,31,,31
2024-2025,2,Albemarle County,69,Jackson P. Burley Middle,N,336,,336
2024-2025,2,Albemarle County,69,Jackson P. Burley Middle,Y,199,,199
2024-2025,2,Albemarle County,942,Joseph T. Henley Middle,N,738,,738
2024-2025,2,Albemarle County,942,Joseph T. Henley Middle,Y,109,,109
2024-2025,2,Albemarle County,950,Journey Middle,N,356,<,357
2024-2025,2,Albemarle County,950,Journey Middle,Y,291,,291
2024-2025,2,Albemarle County,1051,Lakeside Middle,N,429,<,430
2024-2025,2,Albemarle County,1051,Lakeside Middle,Y,145,,145
2024-2025,2,Albemarle County,20,Leslie H. Walton Middle,N,228,,228
2024-2025,2,Albemarle County,20,Leslie H. Walton Middle,Y,111,,111
2024-2025,2,Albemarle County,40,Mary Carr Greer Elementary,N,250,,250
2024-2025,2,Albemarle County,40,Mary Carr Greer Elementary,Y,270,,270
2024-2025,2,Albemarle County,1052,Monticello High,N,816,<,818
2024-2025,2,Albemarle County,1052,Monticello High,Y,373,,373
2024-2025,2,Albemarle County,150,Mountain View Elementary,N,500,,500
2024-2025,2,Albemarle County,150,Mountain View Elementary,Y,270,,270
2024-2025,2,Albemarle County,540,Red Hill Elementary,N,134,,134
2024-2025,2,Albemarle County,540,Red Hill Elementary,Y,76,,76
2024-2025,2,Albemarle County,30,Scottsville Elementary,N,135,,135
2024-2025,2,Albemarle County,30,Scottsville Elementary,Y,81,,81
2024-2025,2,Albemarle County,920,Stone Robinson Elementary,N,343,,343
2024-2025,2,Albemarle County,920,Stone Robinson Elementary,Y,133,,133
2024-2025,2,Albemarle County,240,Stony Point Elementary,N,163,,163
2024-2025,2,Albemarle County,240,Stony Point Elementary,Y,54,,54
2024-2025,2,Albemarle County,910,Virginia L. Murray Elementary,N,241,,241
2024-2025,2,Albemarle County,910,Virginia L. Murray Elementary,Y,32,,32
2024-2025,2,Albemarle County,140,Western Albemarle High,N,"1,122",<,"1,123"
2024-2025,2,Albemarle County,140,Western Albemarle High,Y,151,,151
2024-2025,2,Albemarle County,930,Woodbrook Elementary,N,230,,230
2024-2025,2,Albemarle County,930,Woodbrook Elementary,Y,292,,292
2024-2025,8,Augusta County,660,Buffalo Gap High,N,284,,284
2024-2025,8,Augusta County,660,Buffalo Gap High,Y,126,,126
2024-2025,8,Augusta County,650,Buffalo Gap Middle School,N,190,,190
2024-2025,8,Augusta County,650,Buffalo Gap Middle School,Y,95,,95
2024-2025,8,Augusta County,30,Cassell Elementary,N,379,,379
2024-2025,8,Augusta County,30,Cassell Elementary,Y,256,,256
2024-2025,8,Augusta County,140,Churchville Elementary,N,286,,286
2024-2025,8,Augusta County,140,Churchville Elementary,Y,162,,162
2024-2025,8,Augusta County,370,Craigsville Elementary,N,34,,34
2024-2025,8,Augusta County,370,Craigsville Elementary,Y,83,,83
2024-2025,8,Augusta County,842,Edward G. Clymore Elementary,N,501,,501
2024-2025,8,Augusta County,842,Edward G. Clymore Elementary,Y,302,,302
2024-2025,8,Augusta County,670,Fort Defiance High,N,467,,467
2024-2025,8,Augusta County,670,Fort Defiance High,Y,264,,264
2024-2025,8,Augusta County,843,Guy K. Stump Elementary,N,293,,293
2024-2025,8,Augusta County,843,Guy K. Stump Elementary,Y,164,,164
2024-2025,8,Augusta County,40,North River Elementary,N,116,,116
2024-2025,8,Augusta County,40,North River Elementary,Y,106,,106
2024-2025,8,Augusta County,740,Riverheads Elementary,N,413,,413
2024-2025,8,Augusta County,740,Riverheads Elementary,Y,301,,301
2024-2025,8,Augusta County,680,Riverheads High,N,312,,312
2024-2025,8,Augusta County,680,Riverheads High,Y,155,,155
2024-2025,8,Augusta County,70,Riverheads Middle School,N,251,,251
2024-2025,8,Augusta County,70,Riverheads Middle School,Y,115,,115
2024-2025,8,Augusta County,90,S. Gordon Stewart Middle,N,336,,336
2024-2025,8,Augusta County,90,S. Gordon Stewart Middle,Y,180,,180
2024-2025,8,Augusta County,440,Stuarts Draft Elementary,N,391,,391
2024-2025,8,Augusta County,440,Stuarts Draft Elementary,Y,255,,255
2024-2025,8,Augusta County,730,Stuarts Draft High,N,433,,433
2024-2025,8,Augusta County,730,Stuarts Draft High,Y,235,,235
2024-2025,8,Augusta County,60,Stuarts Draft Middle,N,335,<,336
2024-2025,8,Augusta County,60,Stuarts Draft Middle,Y,178,,178
2024-2025,8,Augusta County,640,Wilson Elementary,N,372,,372
2024-2025,8,Augusta County,640,Wilson Elementary,Y,283,,283
2024-2025,8,Augusta County,720,Wilson Memorial High,N,574,,574
2024-2025,8,Augusta County,720,Wilson Memorial High,Y,263,,263
2024-2025,8,Augusta County,844,Wilson Middle,N,385,,385
2024-2025,8,Augusta County,844,Wilson Middle,Y,256,,256
2024-2025,15,Buckingham County,724,Buckingham Co Elementary,N,154,,154
2024-2025,15,Buckingham County,724,Buckingham Co Elementary,Y,197,,197
2024-2025,15,Buckingham County,20,Buckingham Co Prekindergarten Center,N,92,,92
2024-2025,15,Buckingham County,20,Buckingham Co Prekindergarten Center,Y,11,,11
2024-2025,15,Buckingham County,723,Buckingham Co Primary,N,179,,179
2024-2025,15,Buckingham County,723,Buckingham Co Primary,Y,182,,182
2024-2025,15,Buckingham County,700,Buckingham County High,N,323,,323
2024-2025,15,Buckingham County,700,Buckingham County High,Y,323,,323
2024-2025,15,Buckingham County,721,Buckingham County Middle,N,188,,188
2024-2025,15,Buckingham County,721,Buckingham County Middle,Y,219,,219
2024-2025,104,Charlottesville City,100,Buford Middle,N,244,<,245
2024-2025,104,Charlottesville City,100,Buford Middle,Y,319,,319
2024-2025,104,Charlottesville City,70,Burnley-Moran Elementary,N,202,,202
2024-2025,104,Charlottesville City,70,Burnley-Moran Elementary,Y,97,,97
2024-2025,104,Charlottesville City,140,Charlottesville High,N,714,<,717
2024-2025,104,Charlottesville City,140,Charlottesville High,Y,724,,724
2024-2025,104,Charlottesville City,90,Greenbrier Elementary,N,145,,145
2024-2025,104,Charlottesville City,90,Greenbrier Elementary,Y,122,,122
2024-2025,104,Charlottesville City,120,Jackson-Via Elementary,N,144,,144
2024-2025,104,Charlottesville City,120,Jackson-Via Elementary,Y,226,,226
2024-2025,104,Charlottesville City,10,Johnson Elementary,N,131,,131
2024-2025,104,Charlottesville City,10,Johnson Elementary,Y,196,,196
2024-2025,104,Charlottesville City,50,Summit Elementary School,N,78,,78
2024-2025,104,Charlottesville City,50,Summit Elementary School,Y,207,,207
2024-2025,104,Charlottesville City,40,Trailblazer Elementary School,N,182,,182
2024-2025,104,Charlottesville City,40,Trailblazer Elementary School,Y,138,,138
2024-2025,104,Charlottesville City,110,Walker Upper Elementary,N,271,,271
2024-2025,104,Charlottesville City,110,Walker Upper Elementary,Y,299,,299
2024-2025,32,Fluvanna County,300,Carysbrook Elementary,N,274,,274
2024-2025,32,Fluvanna County,300,Carysbrook Elementary,Y,183,,183
2024-2025,32,Fluvanna County,310,Central Elementary,N,437,,437
2024-2025,32,Fluvanna County,310,Central Elementary,Y,314,,314
2024-2025,32,Fluvanna County,260,Fluvanna County High,N,920,,920
2024-2025,32,Fluvanna County,260,Fluvanna County High,Y,442,,442
2024-2025,32,Fluvanna County,320,Fluvanna Middle,N,509,,509
2024-2025,32,Fluvanna County,320,Fluvanna Middle,Y,238,,238
2024-2025,39,Greene County,20,Nathanael Greene Elementary,N,125,,125
2024-2025,39,Greene County,20,Nathanael Greene Elementary,Y,201,,201
2024-2025,39,Greene County,10,Nathanael Greene Primary,N,234,,234
2024-2025,39,Greene County,10,Nathanael Greene Primary,Y,133,,133
2024-2025,39,Greene County,30,Ruckersville Elementary,N,352,,352
2024-2025,39,Greene County,30,Ruckersville Elementary,Y,188,,188
2024-2025,39,Greene County,72,William Monroe High,N,534,<,535
2024-2025,39,Greene County,72,William Monroe High,Y,418,,418
2024-2025,39,Greene County,71,William Monroe Middle,N,298,,298
2024-2025,39,Greene County,71,William Monroe Middle,Y,298,,298
2024-2025,54,Louisa County,660,Jouett Elementary,N,356,,356
2024-2025,54,Louisa County,660,Jouett Elementary,Y,291,,291
2024-2025,54,Louisa County,602,Louisa County High,N,874,,874
2024-2025,54,Louisa County,602,Louisa County High,Y,727,,727
2024-2025,54,Louisa County,601,Louisa County Middle,N,676,,676
2024-2025,54,Louisa County,601,Louisa County Middle,Y,555,,555
2024-2025,54,Louisa County,80,Moss-Nuckols Elementary,N,396,,396
2024-2025,54,Louisa County,80,Moss-Nuckols Elementary,Y,241,,241
2024-2025,54,Louisa County,610,Thomas Jefferson Elementary,N,344,,344
2024-2025,54,Louisa County,610,Thomas Jefferson Elementary,Y,328,,328
2024-2025,54,Louisa County,641,Trevilians Elementary,N,282,,282
2024-2025,54,Louisa County,641,Trevilians Elementary,Y,264,,264
2024-2025,56,Madison County,221,Madison County High,N,357,,357
2024-2025,56,Madison County,221,Madison County High,Y,173,,173
2024-2025,56,Madison County,230,Madison Primary,N,214,,214
2024-2025,56,Madison County,230,Madison Primary,Y,151,<,152
2024-2025,56,Madison County,200,Waverly Yowell Elementary,N,200,,200
2024-2025,56,Madison County,200,Waverly Yowell Elementary,Y,134,,134
2024-2025,56,Madison County,222,William H. Wetsel Middle,N,226,,226
2024-2025,56,Madison County,222,William H. Wetsel Middle,Y,130,,130
2024-2025,62,Nelson County,710,Nelson County High,N,260,,260
2024-2025,62,Nelson County,710,Nelson County High,Y,226,,226
2024-2025,62,Nelson County,730,Nelson Middle,N,163,,163
2024-2025,62,Nelson County,730,Nelson Middle,Y,165,<,166
2024-2025,62,Nelson County,10,Rockfish River Elementary,N,141,,141
2024-2025,62,Nelson County,10,Rockfish River Elementary,Y,177,,177
2024-2025,62,Nelson County,20,Tye River Elementary,N,152,,152
2024-2025,62,Nelson County,20,Tye River Elementary,Y,208,,208
2024-2025,68,Orange County,360,Gordon-Barbour Elementary,N,148,,148
2024-2025,68,Orange County,360,Gordon-Barbour Elementary,Y,178,,178
2024-2025,68,Orange County,70,Lightfoot Elementary,N,118,,118
2024-2025,68,Orange County,70,Lightfoot Elementary,Y,106,,106
2024-2025,68,Orange County,50,Locust Grove Elementary,N,328,,328
2024-2025,68,Orange County,50,Locust Grove Elementary,Y,191,,191
2024-2025,68,Orange County,471,Locust Grove Middle,N,417,,417
2024-2025,68,Orange County,471,Locust Grove Middle,Y,269,,269
2024-2025,68,Orange County,51,Locust Grove Primary,N,354,,354
2024-2025,68,Orange County,51,Locust Grove Primary,Y,146,,146
2024-2025,68,Orange County,330,Orange County High ,N,818,<,819
2024-2025,68,Orange County,330,Orange County High ,Y,663,,663
2024-2025,68,Orange County,370,Orange Elementary,N,290,,290
2024-2025,68,Orange County,370,Orange Elementary,Y,331,,331
2024-2025,68,Orange County,340,Prospect Heights Middle,N,227,,227
2024-2025,68,Orange County,340,Prospect Heights Middle,Y,239,,239
2024-2025,68,Orange County,350,Unionville Elementary,N,159,,159
2024-2025,68,Orange County,350,Unionville Elementary,Y,97,,97
2024-2025,126,Staunton City,40,Arthur R. Ware Elementary,N,204,,204
2024-2025,126,Staunton City,40,Arthur R. Ware Elementary,Y,168,,168
2024-2025,126,Staunton City,70,Bessie Weller Elementary,N,160,,160
2024-2025,126,Staunton City,70,Bessie Weller Elementary,Y,213,,213
2024-2025,126,Staunton City,110,Shelburne Middle,N,310,,310
2024-2025,126,Staunton City,110,Shelburne Middle,Y,273,,273
2024-2025,126,Staunton City,41,Staunton City School PreSchool Programs,N,44,,44
2024-2025,126,Staunton City,41,Staunton City School PreSchool Programs,Y,105,,105
2024-2025,126,Staunton City,30,Staunton High,N,448,,448
2024-2025,126,Staunton City,30,Staunton High,Y,320,,320
2024-2025,126,Staunton City,90,Thomas C. McSwain Elementary,N,245,,245
2024-2025,126,Staunton City,90,Thomas C. McSwain Elementary,Y,204,,204
2024-2025,130,Waynesboro City,650,Berkeley Glenn Elementary ,N,117,,117
2024-2025,130,Waynesboro City,650,Berkeley Glenn Elementary ,Y,139,,139
2024-2025,130,Waynesboro City,640,Kate Collins Middle ,N,300,,300
2024-2025,130,Waynesboro City,640,Kate Collins Middle ,Y,302,,302
2024-2025,130,Waynesboro City,620,Wayne Hills Center,N,84,,84
2024-2025,130,Waynesboro City,620,Wayne Hills Center,Y,100,,100
2024-2025,130,Waynesboro City,600,Waynesboro High ,N,482,,482
2024-2025,130,Waynesboro City,600,Waynesboro High ,Y,445,,445
2024-2025,130,Waynesboro City,580,Wenonah Elementary ,N,68,,68
2024-2025,130,Waynesboro City,580,Wenonah Elementary ,Y,178,,178
2024-2025,130,Waynesboro City,630,Westwood Hills Elementary ,N,186,,186
2024-2025,130,Waynesboro City,630,Westwood Hills Elementary ,Y,196,,196
2024-2025,130,Waynesboro City,751,William Perry Elementary ,N,168,,168
2024-2025,130,Waynesboro City,751,William Perry Elementary ,Y,279,,279