School Year,Division Number,Division Name,School Number,School Name,Disadvantaged,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2019-2020,2,Albemarle County,1060,Albemarle County Community Public Charter,N,46, ,46
2019-2020,2,Albemarle County,1060,Albemarle County Community Public Charter,Y,10, ,10
2019-2020,2,Albemarle County,880,Albemarle High,N,"1,396",12,"1,408"
2019-2020,2,Albemarle County,880,Albemarle High,Y,554, ,554
2019-2020,2,Albemarle County,950,Jack Jouett Middle,N,293,<,294
2019-2020,2,Albemarle County,950,Jack Jouett Middle,Y,361, ,361
2019-2020,2,Albemarle County,69,Jackson P. Burley Middle,N,352,<,354
2019-2020,2,Albemarle County,69,Jackson P. Burley Middle,Y,234, ,234
2019-2020,2,Albemarle County,942,Joseph T. Henley Middle,N,796,<,798
2019-2020,2,Albemarle County,942,Joseph T. Henley Middle,Y,121, ,121
2019-2020,2,Albemarle County,20,Leslie H. Walton Middle,N,205,<,206
2019-2020,2,Albemarle County,20,Leslie H. Walton Middle,Y,138,<,139
2019-2020,2,Albemarle County,1052,Monticello High,N,850,10,860
2019-2020,2,Albemarle County,1052,Monticello High,Y,357, ,357
2019-2020,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,N,479,<,481
2019-2020,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,Y,117, ,117
2019-2020,2,Albemarle County,890,Murray High,N,67, ,67
2019-2020,2,Albemarle County,890,Murray High,Y,18, ,18
2019-2020,2,Albemarle County,140,Western Albemarle High,N,"1,080", ,"1,080"
2019-2020,2,Albemarle County,140,Western Albemarle High,Y,127, ,127
2019-2020,104,Charlottesville City,100,Buford Middle,N,262,<,263
2019-2020,104,Charlottesville City,100,Buford Middle,Y,267, ,267
2019-2020,104,Charlottesville City,140,Charlottesville High,N,759, ,759
2019-2020,104,Charlottesville City,140,Charlottesville High,Y,466, ,466
2019-2020,104,Charlottesville City,110,Walker Upper Elementary,N,301,<,302
2019-2020,104,Charlottesville City,110,Walker Upper Elementary,Y,369, ,369
2020-2021,2,Albemarle County,880,Albemarle High,N,"1,240",<,"1,246"
2020-2021,2,Albemarle County,880,Albemarle High,Y,647, ,647
2020-2021,2,Albemarle County,950,Jack Jouett Middle,N,286, ,286
2020-2021,2,Albemarle County,950,Jack Jouett Middle,Y,395, ,395
2020-2021,2,Albemarle County,69,Jackson P. Burley Middle,N,336,<,338
2020-2021,2,Albemarle County,69,Jackson P. Burley Middle,Y,271, ,271
2020-2021,2,Albemarle County,942,Joseph T. Henley Middle,N,727,<,734
2020-2021,2,Albemarle County,942,Joseph T. Henley Middle,Y,150, ,150
2020-2021,2,Albemarle County,20,Leslie H. Walton Middle,N,203,<,204
2020-2021,2,Albemarle County,20,Leslie H. Walton Middle,Y,142,<,143
2020-2021,2,Albemarle County,1052,Monticello High,N,773,<,780
2020-2021,2,Albemarle County,1052,Monticello High,Y,413,<,417
2020-2021,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,N,456,<,461
2020-2021,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,Y,123, ,123
2020-2021,2,Albemarle County,890,Murray School,N,126, ,126
2020-2021,2,Albemarle County,890,Murray School,Y,36, ,36
2020-2021,2,Albemarle County,140,Western Albemarle High,N,"1,003", ,"1,003"
2020-2021,2,Albemarle County,140,Western Albemarle High,Y,141, ,141
2020-2021,104,Charlottesville City,100,Buford Middle,N,280, ,280
2020-2021,104,Charlottesville City,100,Buford Middle,Y,313, ,313
2020-2021,104,Charlottesville City,140,Charlottesville High,N,706,<,709
2020-2021,104,Charlottesville City,140,Charlottesville High,Y,488, ,488
2020-2021,104,Charlottesville City,110,Walker Upper Elementary,N,305, ,305
2020-2021,104,Charlottesville City,110,Walker Upper Elementary,Y,323, ,323
2021-2022,2,Albemarle County,880,Albemarle High,N,"1,387",<,"1,393"
2021-2022,2,Albemarle County,880,Albemarle High,Y,524, ,524
2021-2022,2,Albemarle County,890,Community Lab School,N,185, ,185
2021-2022,2,Albemarle County,890,Community Lab School,Y,<, ,<
2021-2022,2,Albemarle County,950,Jack Jouett Middle,N,384, ,384
2021-2022,2,Albemarle County,950,Jack Jouett Middle,Y,310, ,310
2021-2022,2,Albemarle County,69,Jackson P. Burley Middle,N,366,<,368
2021-2022,2,Albemarle County,69,Jackson P. Burley Middle,Y,232, ,232
2021-2022,2,Albemarle County,942,Joseph T. Henley Middle,N,722,<,725
2021-2022,2,Albemarle County,942,Joseph T. Henley Middle,Y,117, ,117
2021-2022,2,Albemarle County,1051,Lakeside Middle,N,440,<,443
2021-2022,2,Albemarle County,1051,Lakeside Middle,Y,105, ,105
2021-2022,2,Albemarle County,20,Leslie H. Walton Middle,N,224,<,225
2021-2022,2,Albemarle County,20,Leslie H. Walton Middle,Y,105,<,106
2021-2022,2,Albemarle County,1052,Monticello High,N,835,<,841
2021-2022,2,Albemarle County,1052,Monticello High,Y,378,<,379
2021-2022,2,Albemarle County,140,Western Albemarle High,N,"1,019",<,"1,024"
2021-2022,2,Albemarle County,140,Western Albemarle High,Y,133, ,133
2021-2022,104,Charlottesville City,100,Buford Middle,N,241, ,241
2021-2022,104,Charlottesville City,100,Buford Middle,Y,358, ,358
2021-2022,104,Charlottesville City,140,Charlottesville High,N,662,<,664
2021-2022,104,Charlottesville City,140,Charlottesville High,Y,569, ,569
2021-2022,104,Charlottesville City,110,Walker Upper Elementary,N,249, ,249
2021-2022,104,Charlottesville City,110,Walker Upper Elementary,Y,374, ,374